]0;IPython: disease_forecasting/scriptsData Loaded :  0.12785673141479492
Train = 305, Val = 77
Datagens Loaded :  0.0001270771026611328
Training ...
Loss at epoch 1 = 1.1047773361206055, T = 3
Loss at epoch 101 = 1.0836800336837769, T = 3
Loss at epoch 201 = 1.0746803283691406, T = 3
Loss at epoch 301 = 1.1353100538253784, T = 3
Loss at epoch 401 = 1.1926398277282715, T = 3
Loss at epoch 501 = 1.0764567852020264, T = 3
Loss at epoch 601 = 1.065758228302002, T = 3
Loss at epoch 701 = 1.1168584823608398, T = 3
Loss at epoch 801 = 1.0415992736816406, T = 3
Loss at epoch 901 = 1.091278076171875, T = 3
Loss at epoch 1001 = 1.042698621749878, T = 3
Loss at epoch 1101 = 1.1267379522323608, T = 3
Loss at epoch 1201 = 1.1326184272766113, T = 3
Loss at epoch 1301 = 1.0929542779922485, T = 3
Loss at epoch 1401 = 1.0865249633789062, T = 3
Loss at epoch 1501 = 1.059699296951294, T = 3
Loss at epoch 1601 = 1.0898064374923706, T = 3
Loss at epoch 1701 = 1.0500891208648682, T = 3
Loss at epoch 1801 = 1.002774953842163, T = 3
Loss at epoch 1901 = 1.092517375946045, T = 3
Loss at epoch 2001 = 1.0276249647140503, T = 3
Loss at epoch 2101 = 0.9995704889297485, T = 3
Loss at epoch 2201 = 1.0516119003295898, T = 3
Loss at epoch 2301 = 1.1150665283203125, T = 3
Loss at epoch 2401 = 1.082414150238037, T = 3
Loss at epoch 2501 = 1.089433193206787, T = 3
Loss at epoch 2601 = 1.0649449825286865, T = 3
Loss at epoch 2701 = 1.1079288721084595, T = 3
Loss at epoch 2801 = 1.1030300855636597, T = 3
Loss at epoch 2901 = 1.16869056224823, T = 3
Loss at epoch 3001 = 0.9577771425247192, T = 3
Loss at epoch 3101 = 1.0387394428253174, T = 3
Loss at epoch 3201 = 1.040831446647644, T = 3
Loss at epoch 3301 = 1.0603233575820923, T = 3
Loss at epoch 3401 = 1.0148273706436157, T = 3
Loss at epoch 3501 = 1.009560227394104, T = 3
Loss at epoch 3601 = 1.1007682085037231, T = 3
Loss at epoch 3701 = 1.001832127571106, T = 3
Loss at epoch 3801 = 1.02324378490448, T = 3
Loss at epoch 3901 = 1.019919753074646, T = 3
Loss at epoch 4001 = 1.1059707403182983, T = 3
Loss at epoch 4101 = 1.0357407331466675, T = 3
Loss at epoch 4201 = 0.9977131485939026, T = 3
Loss at epoch 4301 = 1.0744224786758423, T = 3
Loss at epoch 4401 = 1.1309177875518799, T = 3
Loss at epoch 4501 = 1.0976104736328125, T = 3
Loss at epoch 4601 = 0.9604334235191345, T = 3
Loss at epoch 4701 = 0.9702999591827393, T = 3
Loss at epoch 4801 = 1.0851749181747437, T = 3
Loss at epoch 4901 = 1.0051075220108032, T = 3
Loss at epoch 5001 = 1.1195143461227417, T = 3
Loss at epoch 5101 = 1.073696494102478, T = 3
Loss at epoch 5201 = 1.141211748123169, T = 3
Loss at epoch 5301 = 1.0118627548217773, T = 3
Loss at epoch 5401 = 0.9883725643157959, T = 3
Loss at epoch 5501 = 0.970584511756897, T = 3
Loss at epoch 5601 = 0.9616855382919312, T = 3
Loss at epoch 5701 = 0.9629814624786377, T = 3
Loss at epoch 5801 = 1.0804888010025024, T = 3
Loss at epoch 5901 = 1.0605638027191162, T = 3
Loss at epoch 6001 = 0.9798803925514221, T = 3
Loss at epoch 6101 = 1.028264045715332, T = 3
Loss at epoch 6201 = 1.0741246938705444, T = 3
Loss at epoch 6301 = 1.075880527496338, T = 3
Loss at epoch 6401 = 1.193239450454712, T = 3
Loss at epoch 6501 = 1.0771534442901611, T = 3
Loss at epoch 6601 = 1.1050604581832886, T = 3
Loss at epoch 6701 = 0.9936453104019165, T = 3
Loss at epoch 6801 = 1.064982533454895, T = 3
Loss at epoch 6901 = 1.008055567741394, T = 3
Loss at epoch 7001 = 1.0150717496871948, T = 3
Loss at epoch 7101 = 1.0209406614303589, T = 3
Loss at epoch 7201 = 1.063835620880127, T = 3
Loss at epoch 7301 = 1.0547583103179932, T = 3
Loss at epoch 7401 = 1.1540501117706299, T = 3
Loss at epoch 7501 = 0.9798863530158997, T = 3
Loss at epoch 7601 = 1.0446795225143433, T = 3
Loss at epoch 7701 = 0.9769371747970581, T = 3
Loss at epoch 7801 = 1.0413634777069092, T = 3
Loss at epoch 7901 = 1.1252765655517578, T = 3
Loss at epoch 8001 = 1.060421109199524, T = 3
Loss at epoch 8101 = 1.1020749807357788, T = 3
Loss at epoch 8201 = 0.9931907653808594, T = 3
Loss at epoch 8301 = 0.9403336644172668, T = 3
Loss at epoch 8401 = 1.0067329406738281, T = 3
Loss at epoch 8501 = 1.0148721933364868, T = 3
Loss at epoch 8601 = 1.0455961227416992, T = 3
Loss at epoch 8701 = 0.9430497288703918, T = 3
Loss at epoch 8801 = 1.0532134771347046, T = 3
Loss at epoch 8901 = 1.1256117820739746, T = 3
Loss at epoch 9001 = 1.1212917566299438, T = 3
Loss at epoch 9101 = 0.9489518404006958, T = 3
Loss at epoch 9201 = 1.0905343294143677, T = 3
Loss at epoch 9301 = 0.9050111174583435, T = 3
Loss at epoch 9401 = 1.096652626991272, T = 3
Loss at epoch 9501 = 1.0448424816131592, T = 3
Loss at epoch 9601 = 1.041500449180603, T = 3
Loss at epoch 9701 = 1.0862404108047485, T = 3
Loss at epoch 9801 = 0.9547329545021057, T = 3
Loss at epoch 9901 = 1.0231443643569946, T = 3
Train data : 
Val data : 
