]0;IPython: disease_forecasting/scriptsData Loaded :  0.3687713146209717
Train = 305, Val = 77
Datagens Loaded :  4.553794860839844e-05
Training ...
Loss at epoch 1 = 1.1380581855773926, T = 2
Loss at epoch 101 = 0.916700541973114, T = 2
Loss at epoch 201 = 0.8606433868408203, T = 2
Loss at epoch 301 = 0.6998077034950256, T = 2
Loss at epoch 401 = 0.8237893581390381, T = 2
Loss at epoch 501 = 0.5483357310295105, T = 2
Loss at epoch 601 = 0.63700270652771, T = 2
Loss at epoch 701 = 0.6711428165435791, T = 2
Loss at epoch 801 = 0.7674882411956787, T = 2
Loss at epoch 901 = 0.805798351764679, T = 2
Loss at epoch 1001 = 0.6964054107666016, T = 2
Loss at epoch 1101 = 0.8019670844078064, T = 2
Loss at epoch 1201 = 0.5707648992538452, T = 2
Loss at epoch 1301 = 0.6923365592956543, T = 2
Loss at epoch 1401 = 0.6493801474571228, T = 2
Loss at epoch 1501 = 0.7097615003585815, T = 2
Loss at epoch 1601 = 0.7295359373092651, T = 2
Loss at epoch 1701 = 0.6866633892059326, T = 2
Loss at epoch 1801 = 0.6731938123703003, T = 2
Loss at epoch 1901 = 0.33965638279914856, T = 2
Loss at epoch 2001 = 0.5220865607261658, T = 2
Loss at epoch 2101 = 0.3713895082473755, T = 2
Loss at epoch 2201 = 0.8065214157104492, T = 2
Loss at epoch 2301 = 0.6378578543663025, T = 2
Loss at epoch 2401 = 0.5415449738502502, T = 2
Loss at epoch 2501 = 0.6768354177474976, T = 2
Loss at epoch 2601 = 0.6613599061965942, T = 2
Loss at epoch 2701 = 0.6225239634513855, T = 2
Loss at epoch 2801 = 0.6452679634094238, T = 2
Loss at epoch 2901 = 0.42009079456329346, T = 2
Loss at epoch 3001 = 0.6953630447387695, T = 2
Loss at epoch 3101 = 0.3557179868221283, T = 2
Loss at epoch 3201 = 0.42273586988449097, T = 2
Loss at epoch 3301 = 0.42824384570121765, T = 2
Loss at epoch 3401 = 0.5966121554374695, T = 2
Loss at epoch 3501 = 0.5725917816162109, T = 2
Loss at epoch 3601 = 0.7129824161529541, T = 2
Loss at epoch 3701 = 0.3828071653842926, T = 2
Loss at epoch 3801 = 0.47772181034088135, T = 2
Loss at epoch 3901 = 0.513603925704956, T = 2
Loss at epoch 4001 = 0.5401167869567871, T = 2
Loss at epoch 4101 = 0.5253093242645264, T = 2
Loss at epoch 4201 = 0.43299567699432373, T = 2
Loss at epoch 4301 = 0.6578770875930786, T = 2
Loss at epoch 4401 = 0.36835938692092896, T = 2
Loss at epoch 4501 = 0.6013414263725281, T = 2
Loss at epoch 4601 = 0.7553465962409973, T = 2
Loss at epoch 4701 = 0.5187710523605347, T = 2
Loss at epoch 4801 = 0.36332523822784424, T = 2
Loss at epoch 4901 = 0.8106545805931091, T = 2
Loss at epoch 5001 = 0.647053062915802, T = 2
Loss at epoch 5101 = 0.3704395890235901, T = 2
Loss at epoch 5201 = 0.519952654838562, T = 2
Loss at epoch 5301 = 0.450133740901947, T = 2
Loss at epoch 5401 = 0.6919633746147156, T = 2
Loss at epoch 5501 = 0.6603503227233887, T = 2
Loss at epoch 5601 = 0.43770331144332886, T = 2
Loss at epoch 5701 = 0.5281397700309753, T = 2
Loss at epoch 5801 = 0.8015205264091492, T = 2
Loss at epoch 5901 = 0.5463894605636597, T = 2
Loss at epoch 6001 = 0.41647520661354065, T = 2
Loss at epoch 6101 = 0.47327229380607605, T = 2
Loss at epoch 6201 = 0.49198514223098755, T = 2
Loss at epoch 6301 = 0.4847375750541687, T = 2
Loss at epoch 6401 = 0.3403475284576416, T = 2
Loss at epoch 6501 = 0.4146728515625, T = 2
Loss at epoch 6601 = 0.7871927618980408, T = 2
Loss at epoch 6701 = 0.3510509431362152, T = 2
Loss at epoch 6801 = 0.41111722588539124, T = 2
Loss at epoch 6901 = 0.3122769892215729, T = 2
Loss at epoch 7001 = 0.31376558542251587, T = 2
Loss at epoch 7101 = 0.4856293797492981, T = 2
Loss at epoch 7201 = 0.54686439037323, T = 2
Loss at epoch 7301 = 0.34203654527664185, T = 2
Loss at epoch 7401 = 0.5160828232765198, T = 2
Loss at epoch 7501 = 0.5559807419776917, T = 2
Loss at epoch 7601 = 0.7074342966079712, T = 2
Loss at epoch 7701 = 0.5342389345169067, T = 2
Loss at epoch 7801 = 0.5196021199226379, T = 2
Loss at epoch 7901 = 0.5670324563980103, T = 2
Loss at epoch 8001 = 0.47838014364242554, T = 2
Loss at epoch 8101 = 0.6477005481719971, T = 2
Loss at epoch 8201 = 0.46455979347229004, T = 2
Loss at epoch 8301 = 0.6548691987991333, T = 2
Loss at epoch 8401 = 0.35875874757766724, T = 2
Loss at epoch 8501 = 0.6671578288078308, T = 2
Loss at epoch 8601 = 0.4786604642868042, T = 2
Loss at epoch 8701 = 0.4341655671596527, T = 2
Loss at epoch 8801 = 0.5577642917633057, T = 2
Loss at epoch 8901 = 0.8587425947189331, T = 2
Loss at epoch 9001 = 0.42249950766563416, T = 2
Loss at epoch 9101 = 0.3487030267715454, T = 2
Loss at epoch 9201 = 0.33137720823287964, T = 2
Loss at epoch 9301 = 0.44890066981315613, T = 2
Loss at epoch 9401 = 0.4180589020252228, T = 2
Loss at epoch 9501 = 0.5650324821472168, T = 2
Loss at epoch 9601 = 0.6166815757751465, T = 2
Loss at epoch 9701 = 0.5216141939163208, T = 2
Loss at epoch 9801 = 0.3630736172199249, T = 2
Loss at epoch 9901 = 0.48481690883636475, T = 2
Train data : 
Val data : 
