]0;IPython: disease_forecasting/scriptsData Loaded :  0.13149738311767578
Train = 305, Val = 77
Datagens Loaded :  5.078315734863281e-05
Training ...
Loss at epoch 1 = 1.1082518100738525, T = 1
Loss at epoch 101 = 0.8719481229782104, T = 1
Loss at epoch 201 = 0.8651638031005859, T = 1
Loss at epoch 301 = 0.5853511691093445, T = 1
Loss at epoch 401 = 0.5250133872032166, T = 1
Loss at epoch 501 = 0.598075270652771, T = 1
Loss at epoch 601 = 0.42929068207740784, T = 1
Loss at epoch 701 = 0.35467204451560974, T = 1
Loss at epoch 801 = 0.487090528011322, T = 1
Loss at epoch 901 = 0.421129435300827, T = 1
Loss at epoch 1001 = 0.35568222403526306, T = 1
Loss at epoch 1101 = 0.331063449382782, T = 1
Loss at epoch 1201 = 0.40955859422683716, T = 1
Loss at epoch 1301 = 0.2525785565376282, T = 1
Loss at epoch 1401 = 0.31890764832496643, T = 1
Loss at epoch 1501 = 0.38996464014053345, T = 1
Loss at epoch 1601 = 0.416536420583725, T = 1
Loss at epoch 1701 = 0.6569707989692688, T = 1
Loss at epoch 1801 = 0.7760415077209473, T = 1
Loss at epoch 1901 = 0.4919620752334595, T = 1
Loss at epoch 2001 = 0.324565052986145, T = 1
Loss at epoch 2101 = 0.4714873135089874, T = 1
Loss at epoch 2201 = 0.4752808213233948, T = 1
Loss at epoch 2301 = 0.3147174119949341, T = 1
Loss at epoch 2401 = 0.23575222492218018, T = 1
Loss at epoch 2501 = 0.5001192688941956, T = 1
Loss at epoch 2601 = 0.36258310079574585, T = 1
Loss at epoch 2701 = 0.46224740147590637, T = 1
Loss at epoch 2801 = 0.6442305445671082, T = 1
Loss at epoch 2901 = 0.18978440761566162, T = 1
Loss at epoch 3001 = 0.45308685302734375, T = 1
Loss at epoch 3101 = 0.4706706404685974, T = 1
Loss at epoch 3201 = 0.17092621326446533, T = 1
Loss at epoch 3301 = 0.2659098207950592, T = 1
Loss at epoch 3401 = 0.15931691229343414, T = 1
Loss at epoch 3501 = 0.16994091868400574, T = 1
Loss at epoch 3601 = 0.3002029359340668, T = 1
Loss at epoch 3701 = 0.43912580609321594, T = 1
Loss at epoch 3801 = 0.5002555847167969, T = 1
Loss at epoch 3901 = 0.20330312848091125, T = 1
Loss at epoch 4001 = 0.5173507928848267, T = 1
Loss at epoch 4101 = 0.20654956996440887, T = 1
Loss at epoch 4201 = 0.4013213515281677, T = 1
Loss at epoch 4301 = 0.3649841547012329, T = 1
Loss at epoch 4401 = 0.28466084599494934, T = 1
Loss at epoch 4501 = 0.1479051411151886, T = 1
Loss at epoch 4601 = 0.6822780966758728, T = 1
Loss at epoch 4701 = 0.8559402823448181, T = 1
Loss at epoch 4801 = 0.27913129329681396, T = 1
Loss at epoch 4901 = 0.2530372738838196, T = 1
Loss at epoch 5001 = 0.48492226004600525, T = 1
Loss at epoch 5101 = 0.22692103683948517, T = 1
Loss at epoch 5201 = 0.34599387645721436, T = 1
Loss at epoch 5301 = 0.1861031949520111, T = 1
Loss at epoch 5401 = 0.4940848648548126, T = 1
Loss at epoch 5501 = 0.2993420362472534, T = 1
Loss at epoch 5601 = 0.4042034149169922, T = 1
Loss at epoch 5701 = 0.23624500632286072, T = 1
Loss at epoch 5801 = 0.4009038805961609, T = 1
Loss at epoch 5901 = 0.24037040770053864, T = 1
Loss at epoch 6001 = 0.22202786803245544, T = 1
Loss at epoch 6101 = 0.32412153482437134, T = 1
Loss at epoch 6201 = 0.19650503993034363, T = 1
Loss at epoch 6301 = 0.24577897787094116, T = 1
Loss at epoch 6401 = 0.23671795427799225, T = 1
Loss at epoch 6501 = 0.22945129871368408, T = 1
Loss at epoch 6601 = 0.15713812410831451, T = 1
Loss at epoch 6701 = 0.230168879032135, T = 1
Loss at epoch 6801 = 0.3765665888786316, T = 1
Loss at epoch 6901 = 0.18792331218719482, T = 1
Loss at epoch 7001 = 0.36664479970932007, T = 1
Loss at epoch 7101 = 0.15466110408306122, T = 1
Loss at epoch 7201 = 0.29963216185569763, T = 1
Loss at epoch 7301 = 0.46637392044067383, T = 1
Loss at epoch 7401 = 0.10784560441970825, T = 1
Loss at epoch 7501 = 0.22721242904663086, T = 1
Loss at epoch 7601 = 0.34647315740585327, T = 1
Loss at epoch 7701 = 0.39790189266204834, T = 1
Loss at epoch 7801 = 0.17786948382854462, T = 1
Loss at epoch 7901 = 0.1922939568758011, T = 1
Loss at epoch 8001 = 0.1840987354516983, T = 1
Loss at epoch 8101 = 0.3011554181575775, T = 1
Loss at epoch 8201 = 0.470828115940094, T = 1
Loss at epoch 8301 = 0.09727073460817337, T = 1
Loss at epoch 8401 = 0.15561489760875702, T = 1
Loss at epoch 8501 = 0.17313437163829803, T = 1
Loss at epoch 8601 = 0.3220936954021454, T = 1
Loss at epoch 8701 = 0.20746870338916779, T = 1
Loss at epoch 8801 = 0.26801279187202454, T = 1
Loss at epoch 8901 = 0.13128003478050232, T = 1
Loss at epoch 9001 = 0.1764572262763977, T = 1
Loss at epoch 9101 = 0.2969588041305542, T = 1
Loss at epoch 9201 = 0.11134041100740433, T = 1
Loss at epoch 9301 = 0.11228463798761368, T = 1
Loss at epoch 9401 = 0.13271009922027588, T = 1
Loss at epoch 9501 = 0.19605983793735504, T = 1
Loss at epoch 9601 = 0.0897597223520279, T = 1
Loss at epoch 9701 = 0.7486991882324219, T = 1
Loss at epoch 9801 = 0.18595004081726074, T = 1
Loss at epoch 9901 = 0.2676401734352112, T = 1
Train data : 
Val data : 
