]0;IPython: disease_forecasting/scriptsData Loaded :  0.14383459091186523
Train = 305, Val = 77
Datagens Loaded :  4.601478576660156e-05
Training ...
Loss at epoch 1 = 1.1485313177108765, T = 3
Loss at epoch 101 = 1.0994770526885986, T = 3
Loss at epoch 201 = 1.0715056657791138, T = 3
Loss at epoch 301 = 1.1151732206344604, T = 3
Loss at epoch 401 = 1.0526002645492554, T = 3
Loss at epoch 501 = 1.0467265844345093, T = 3
Loss at epoch 601 = 1.0816302299499512, T = 3
Loss at epoch 701 = 1.1163402795791626, T = 3
Loss at epoch 801 = 1.0877176523208618, T = 3
Loss at epoch 901 = 1.0232048034667969, T = 3
Loss at epoch 1001 = 1.0776448249816895, T = 3
Loss at epoch 1101 = 1.100409984588623, T = 3
Loss at epoch 1201 = 1.0335243940353394, T = 3
Loss at epoch 1301 = 1.001358985900879, T = 3
Loss at epoch 1401 = 1.0584132671356201, T = 3
Loss at epoch 1501 = 1.0510591268539429, T = 3
Loss at epoch 1601 = 1.0849038362503052, T = 3
Loss at epoch 1701 = 1.115142583847046, T = 3
Loss at epoch 1801 = 1.0424007177352905, T = 3
Loss at epoch 1901 = 1.088507890701294, T = 3
Loss at epoch 2001 = 1.100296974182129, T = 3
Loss at epoch 2101 = 1.0229229927062988, T = 3
Loss at epoch 2201 = 1.0555609464645386, T = 3
Loss at epoch 2301 = 1.139096736907959, T = 3
Loss at epoch 2401 = 1.0779038667678833, T = 3
Loss at epoch 2501 = 1.071676254272461, T = 3
Loss at epoch 2601 = 1.118983268737793, T = 3
Loss at epoch 2701 = 0.9945999383926392, T = 3
Loss at epoch 2801 = 1.141062617301941, T = 3
Loss at epoch 2901 = 1.10630202293396, T = 3
Loss at epoch 3001 = 1.0049821138381958, T = 3
Loss at epoch 3101 = 1.0710376501083374, T = 3
Loss at epoch 3201 = 1.0859177112579346, T = 3
Loss at epoch 3301 = 1.044054627418518, T = 3
Loss at epoch 3401 = 1.0579770803451538, T = 3
Loss at epoch 3501 = 1.1692469120025635, T = 3
Loss at epoch 3601 = 1.0465728044509888, T = 3
Loss at epoch 3701 = 1.0496762990951538, T = 3
Loss at epoch 3801 = 1.0615074634552002, T = 3
Loss at epoch 3901 = 1.0459048748016357, T = 3
Loss at epoch 4001 = 1.0911307334899902, T = 3
Loss at epoch 4101 = 1.093103051185608, T = 3
Loss at epoch 4201 = 1.0037899017333984, T = 3
Loss at epoch 4301 = 1.0466389656066895, T = 3
Loss at epoch 4401 = 1.0548241138458252, T = 3
Loss at epoch 4501 = 1.0807888507843018, T = 3
Loss at epoch 4601 = 1.0990337133407593, T = 3
Loss at epoch 4701 = 1.0030262470245361, T = 3
Loss at epoch 4801 = 1.0681511163711548, T = 3
Loss at epoch 4901 = 1.0493992567062378, T = 3
Loss at epoch 5001 = 0.9918774962425232, T = 3
Loss at epoch 5101 = 1.1267060041427612, T = 3
Loss at epoch 5201 = 1.0223612785339355, T = 3
Loss at epoch 5301 = 1.0641345977783203, T = 3
Loss at epoch 5401 = 1.0769684314727783, T = 3
Loss at epoch 5501 = 1.0508908033370972, T = 3
Loss at epoch 5601 = 1.0731303691864014, T = 3
Loss at epoch 5701 = 1.1794310808181763, T = 3
Loss at epoch 5801 = 1.0984793901443481, T = 3
Loss at epoch 5901 = 1.1137011051177979, T = 3
Loss at epoch 6001 = 0.9694586396217346, T = 3
Loss at epoch 6101 = 1.0060811042785645, T = 3
Loss at epoch 6201 = 1.1259591579437256, T = 3
Loss at epoch 6301 = 1.157427191734314, T = 3
Loss at epoch 6401 = 1.025727391242981, T = 3
Loss at epoch 6501 = 1.086187720298767, T = 3
Loss at epoch 6601 = 0.9669755697250366, T = 3
Loss at epoch 6701 = 1.1342880725860596, T = 3
Loss at epoch 6801 = 1.0947209596633911, T = 3
Loss at epoch 6901 = 1.043626070022583, T = 3
Loss at epoch 7001 = 1.0712507963180542, T = 3
Loss at epoch 7101 = 1.1099812984466553, T = 3
Loss at epoch 7201 = 1.1363040208816528, T = 3
Loss at epoch 7301 = 1.0307539701461792, T = 3
Loss at epoch 7401 = 0.9575904011726379, T = 3
Loss at epoch 7501 = 1.1238681077957153, T = 3
Loss at epoch 7601 = 0.915736198425293, T = 3
Loss at epoch 7701 = 0.9680884480476379, T = 3
Loss at epoch 7801 = 0.93645179271698, T = 3
Loss at epoch 7901 = 1.1425188779830933, T = 3
Loss at epoch 8001 = 1.030664324760437, T = 3
Loss at epoch 8101 = 1.0598689317703247, T = 3
Loss at epoch 8201 = 1.0448464155197144, T = 3
Loss at epoch 8301 = 0.9441690444946289, T = 3
Loss at epoch 8401 = 0.9549812078475952, T = 3
Loss at epoch 8501 = 1.0372288227081299, T = 3
Loss at epoch 8601 = 1.0337501764297485, T = 3
Loss at epoch 8701 = 1.1069705486297607, T = 3
Loss at epoch 8801 = 1.0784744024276733, T = 3
Loss at epoch 8901 = 1.1257660388946533, T = 3
Loss at epoch 9001 = 1.0723921060562134, T = 3
Loss at epoch 9101 = 0.9899441003799438, T = 3
Loss at epoch 9201 = 0.8970983028411865, T = 3
Loss at epoch 9301 = 0.9828233122825623, T = 3
Loss at epoch 9401 = 1.015130639076233, T = 3
Loss at epoch 9501 = 1.0699779987335205, T = 3
Loss at epoch 9601 = 0.980086088180542, T = 3
Loss at epoch 9701 = 1.082376480102539, T = 3
Loss at epoch 9801 = 1.0133745670318604, T = 3
Loss at epoch 9901 = 1.0633189678192139, T = 3
Train data : 
Val data : 
