]0;IPython: disease_forecasting/scriptsData Loaded :  0.1398606300354004
Train = 305, Val = 77
Datagens Loaded :  3.981590270996094e-05
Training ...
Loss at epoch 1 = 1.0970717668533325, T = 2
Loss at epoch 101 = 0.9951385855674744, T = 2
Loss at epoch 201 = 0.7954821586608887, T = 2
Loss at epoch 301 = 0.5808262228965759, T = 2
Loss at epoch 401 = 0.5898581147193909, T = 2
Loss at epoch 501 = 0.5290787816047668, T = 2
Loss at epoch 601 = 0.5764722228050232, T = 2
Loss at epoch 701 = 0.46331915259361267, T = 2
Loss at epoch 801 = 0.510709285736084, T = 2
Loss at epoch 901 = 0.6571796536445618, T = 2
Loss at epoch 1001 = 0.6664259433746338, T = 2
Loss at epoch 1101 = 0.37201565504074097, T = 2
Loss at epoch 1201 = 0.590815544128418, T = 2
Loss at epoch 1301 = 0.5461094379425049, T = 2
Loss at epoch 1401 = 0.6949459314346313, T = 2
Loss at epoch 1501 = 0.4554213881492615, T = 2
Loss at epoch 1601 = 0.6672270894050598, T = 2
Loss at epoch 1701 = 0.5050904750823975, T = 2
Loss at epoch 1801 = 0.40960341691970825, T = 2
Loss at epoch 1901 = 0.45943978428840637, T = 2
Loss at epoch 2001 = 0.4699190557003021, T = 2
Loss at epoch 2101 = 0.3481721878051758, T = 2
Loss at epoch 2201 = 0.36763668060302734, T = 2
Loss at epoch 2301 = 0.4535556137561798, T = 2
Loss at epoch 2401 = 0.5912790298461914, T = 2
Loss at epoch 2501 = 0.49000248312950134, T = 2
Loss at epoch 2601 = 0.5134076476097107, T = 2
Loss at epoch 2701 = 0.4121750295162201, T = 2
Loss at epoch 2801 = 0.3983147144317627, T = 2
Loss at epoch 2901 = 0.4595925211906433, T = 2
Loss at epoch 3001 = 0.6393506526947021, T = 2
Loss at epoch 3101 = 0.3995519280433655, T = 2
Loss at epoch 3201 = 0.3702065050601959, T = 2
Loss at epoch 3301 = 0.4373542070388794, T = 2
Loss at epoch 3401 = 0.3570452630519867, T = 2
Loss at epoch 3501 = 0.43025141954421997, T = 2
Loss at epoch 3601 = 0.41374099254608154, T = 2
Loss at epoch 3701 = 0.4636921286582947, T = 2
Loss at epoch 3801 = 0.3852008879184723, T = 2
Loss at epoch 3901 = 0.3648381233215332, T = 2
Loss at epoch 4001 = 0.3964994549751282, T = 2
Loss at epoch 4101 = 0.27364325523376465, T = 2
Loss at epoch 4201 = 0.4849469065666199, T = 2
Loss at epoch 4301 = 0.5735796093940735, T = 2
Loss at epoch 4401 = 0.38662102818489075, T = 2
Loss at epoch 4501 = 0.46447768807411194, T = 2
Loss at epoch 4601 = 0.30838286876678467, T = 2
Loss at epoch 4701 = 0.3582536578178406, T = 2
Loss at epoch 4801 = 0.30275678634643555, T = 2
Loss at epoch 4901 = 0.5468504428863525, T = 2
Loss at epoch 5001 = 0.36126911640167236, T = 2
Loss at epoch 5101 = 0.2611951529979706, T = 2
Loss at epoch 5201 = 0.39183536171913147, T = 2
Loss at epoch 5301 = 0.3614940941333771, T = 2
Loss at epoch 5401 = 0.38337865471839905, T = 2
Loss at epoch 5501 = 0.38004428148269653, T = 2
Loss at epoch 5601 = 0.3974466919898987, T = 2
Loss at epoch 5701 = 0.48307377099990845, T = 2
Loss at epoch 5801 = 0.4799099564552307, T = 2
Loss at epoch 5901 = 0.2879786491394043, T = 2
Loss at epoch 6001 = 0.3175836503505707, T = 2
Loss at epoch 6101 = 0.35206374526023865, T = 2
Loss at epoch 6201 = 0.29050156474113464, T = 2
Loss at epoch 6301 = 0.4006079435348511, T = 2
Loss at epoch 6401 = 0.4012000262737274, T = 2
Loss at epoch 6501 = 0.3274848163127899, T = 2
Loss at epoch 6601 = 0.4346417188644409, T = 2
Loss at epoch 6701 = 0.31235748529434204, T = 2
Loss at epoch 6801 = 0.3165804445743561, T = 2
Loss at epoch 6901 = 0.4417306184768677, T = 2
Loss at epoch 7001 = 0.44421595335006714, T = 2
Loss at epoch 7101 = 0.3035062849521637, T = 2
Loss at epoch 7201 = 0.26190000772476196, T = 2
Loss at epoch 7301 = 0.5035315752029419, T = 2
Loss at epoch 7401 = 0.4280050992965698, T = 2
Loss at epoch 7501 = 0.4083763062953949, T = 2
Loss at epoch 7601 = 0.3631533086299896, T = 2
Loss at epoch 7701 = 0.25860360264778137, T = 2
Loss at epoch 7801 = 0.416966050863266, T = 2
Loss at epoch 7901 = 0.6649527549743652, T = 2
Loss at epoch 8001 = 0.33600538969039917, T = 2
Loss at epoch 8101 = 0.6424672603607178, T = 2
Loss at epoch 8201 = 0.2976416051387787, T = 2
Loss at epoch 8301 = 0.5453194975852966, T = 2
Loss at epoch 8401 = 0.44907206296920776, T = 2
Loss at epoch 8501 = 0.2560521364212036, T = 2
Loss at epoch 8601 = 0.38451701402664185, T = 2
Loss at epoch 8701 = 0.5458540320396423, T = 2
Loss at epoch 8801 = 0.4361613392829895, T = 2
Loss at epoch 8901 = 0.46345892548561096, T = 2
Loss at epoch 9001 = 0.3167293667793274, T = 2
Loss at epoch 9101 = 0.28674373030662537, T = 2
Loss at epoch 9201 = 0.21438783407211304, T = 2
Loss at epoch 9301 = 0.2700619101524353, T = 2
Loss at epoch 9401 = 0.3072468340396881, T = 2
Loss at epoch 9501 = 0.28082218766212463, T = 2
Loss at epoch 9601 = 0.40835756063461304, T = 2
Loss at epoch 9701 = 0.4007112979888916, T = 2
Loss at epoch 9801 = 0.32578471302986145, T = 2
Loss at epoch 9901 = 0.38110142946243286, T = 2
Train data : 
Val data : 
