]0;IPython: disease_forecasting/scriptsData Loaded :  0.18362689018249512
Train = 305, Val = 77
Datagens Loaded :  5.078315734863281e-05
Training ...
Loss at epoch 1 = 1.0688045024871826, T = 3
Loss at epoch 101 = 1.0591307878494263, T = 3
Loss at epoch 201 = 1.0048682689666748, T = 4
Loss at epoch 301 = 0.9565895795822144, T = 4
Loss at epoch 401 = 1.179640769958496, T = 3
Loss at epoch 501 = 1.0997051000595093, T = 3
Loss at epoch 601 = 1.0985440015792847, T = 4
Loss at epoch 701 = 1.032822608947754, T = 3
Loss at epoch 801 = 1.0854064226150513, T = 5
Loss at epoch 901 = 1.073728322982788, T = 3
Loss at epoch 1001 = 0.9827350974082947, T = 4
Loss at epoch 1101 = 0.9230244159698486, T = 4
Loss at epoch 1201 = 1.0542351007461548, T = 3
Loss at epoch 1301 = 0.8763478398323059, T = 5
Loss at epoch 1401 = 1.0455242395401, T = 4
Loss at epoch 1501 = 0.7729038596153259, T = 2
Loss at epoch 1601 = 0.8576987981796265, T = 5
Loss at epoch 1701 = 1.1249315738677979, T = 4
Loss at epoch 1801 = 1.018730640411377, T = 5
Loss at epoch 1901 = 0.9242529273033142, T = 5
Loss at epoch 2001 = 0.9456298351287842, T = 5
Loss at epoch 2101 = 1.1340199708938599, T = 3
Loss at epoch 2201 = 0.9451265335083008, T = 2
Loss at epoch 2301 = 0.9610987901687622, T = 5
Loss at epoch 2401 = 0.8928645253181458, T = 5
Loss at epoch 2501 = 0.8160255551338196, T = 2
Loss at epoch 2601 = 1.2018496990203857, T = 3
Loss at epoch 2701 = 0.8800796270370483, T = 5
Loss at epoch 2801 = 1.0084950923919678, T = 4
Loss at epoch 2901 = 1.1007353067398071, T = 3
Loss at epoch 3001 = 0.8502560257911682, T = 2
Loss at epoch 3101 = 1.000486135482788, T = 4
Loss at epoch 3201 = 1.0602422952651978, T = 3
Loss at epoch 3301 = 0.9720744490623474, T = 5
Loss at epoch 3401 = 0.9706562757492065, T = 5
Loss at epoch 3501 = 0.9658331274986267, T = 4
Loss at epoch 3601 = 0.963381826877594, T = 4
Loss at epoch 3701 = 0.7973125576972961, T = 2
Loss at epoch 3801 = 0.9815821647644043, T = 5
Loss at epoch 3901 = 0.7086102366447449, T = 2
Loss at epoch 4001 = 1.0005356073379517, T = 3
Loss at epoch 4101 = 1.21454656124115, T = 3
Loss at epoch 4201 = 1.2215995788574219, T = 3
Loss at epoch 4301 = 0.9531424045562744, T = 4
Loss at epoch 4401 = 0.9566346406936646, T = 4
Loss at epoch 4501 = 0.9562612175941467, T = 4
Loss at epoch 4601 = 0.7030649185180664, T = 2
Loss at epoch 4701 = 1.0114870071411133, T = 4
Loss at epoch 4801 = 1.0672008991241455, T = 3
Loss at epoch 4901 = 0.953525185585022, T = 5
Loss at epoch 5001 = 1.0326803922653198, T = 4
Loss at epoch 5101 = 1.0449239015579224, T = 4
Loss at epoch 5201 = 1.0502872467041016, T = 3
Loss at epoch 5301 = 0.597354531288147, T = 2
Loss at epoch 5401 = 0.9935302734375, T = 3
Loss at epoch 5501 = 0.5660775303840637, T = 2
Loss at epoch 5601 = 0.6321334838867188, T = 2
Loss at epoch 5701 = 1.1405330896377563, T = 4
Loss at epoch 5801 = 0.7054338455200195, T = 2
Loss at epoch 5901 = 1.0025185346603394, T = 5
Loss at epoch 6001 = 0.9392783641815186, T = 4
Loss at epoch 6101 = 0.9992573857307434, T = 4
Loss at epoch 6201 = 0.9366889595985413, T = 5
Loss at epoch 6301 = 0.9528388977050781, T = 4
Loss at epoch 6401 = 0.9190327525138855, T = 5
Loss at epoch 6501 = 0.9711687564849854, T = 5
Loss at epoch 6601 = 1.0761234760284424, T = 5
Loss at epoch 6701 = 0.9355558156967163, T = 4
Loss at epoch 6801 = 1.2234457731246948, T = 3
Loss at epoch 6901 = 0.9875502586364746, T = 4
Loss at epoch 7001 = 1.1416099071502686, T = 5
Loss at epoch 7101 = 0.8740231990814209, T = 4
Loss at epoch 7201 = 1.1039220094680786, T = 3
Loss at epoch 7301 = 0.750317394733429, T = 2
Loss at epoch 7401 = 0.9688392281532288, T = 4
Loss at epoch 7501 = 0.9516413807868958, T = 5
Loss at epoch 7601 = 1.049835443496704, T = 4
Loss at epoch 7701 = 1.0622719526290894, T = 4
Loss at epoch 7801 = 0.5712721347808838, T = 2
Loss at epoch 7901 = 1.0132898092269897, T = 4
Loss at epoch 8001 = 0.9289562702178955, T = 4
Loss at epoch 8101 = 0.5764108300209045, T = 2
Loss at epoch 8201 = 0.9928545355796814, T = 4
Loss at epoch 8301 = 0.6339633464813232, T = 2
Loss at epoch 8401 = 1.0705912113189697, T = 3
Loss at epoch 8501 = 1.1388027667999268, T = 4
Loss at epoch 8601 = 1.078141450881958, T = 3
Loss at epoch 8701 = 0.7675495743751526, T = 2
Loss at epoch 8801 = 1.2111585140228271, T = 4
Loss at epoch 8901 = 0.9338908195495605, T = 4
Loss at epoch 9001 = 0.9534305334091187, T = 5
Loss at epoch 9101 = 0.9533683061599731, T = 5
Loss at epoch 9201 = 0.95823073387146, T = 4
Loss at epoch 9301 = 0.7314556241035461, T = 2
Loss at epoch 9401 = 1.0313268899917603, T = 4
Loss at epoch 9501 = 0.9559755325317383, T = 5
Loss at epoch 9601 = 0.9914562702178955, T = 2
Loss at epoch 9701 = 0.7394806146621704, T = 2
Loss at epoch 9801 = 1.1017780303955078, T = 3
Loss at epoch 9901 = 1.0115547180175781, T = 4
Train data : 
Val data : 
