]0;IPython: disease_forecasting/scriptsData Loaded :  0.13840079307556152
Train = 305, Val = 77
Datagens Loaded :  4.9114227294921875e-05
Training ...
Loss at epoch 1 = 1.1044617891311646, T = 1
Loss at epoch 101 = 0.6667174100875854, T = 1
Loss at epoch 201 = 0.7387674450874329, T = 1
Loss at epoch 301 = 0.5433471202850342, T = 1
Loss at epoch 401 = 0.5152216553688049, T = 1
Loss at epoch 501 = 0.4765317440032959, T = 1
Loss at epoch 601 = 0.505669355392456, T = 1
Loss at epoch 701 = 0.9544003009796143, T = 1
Loss at epoch 801 = 0.48244404792785645, T = 1
Loss at epoch 901 = 0.5334262847900391, T = 1
Loss at epoch 1001 = 0.6147367358207703, T = 1
Loss at epoch 1101 = 0.43579816818237305, T = 1
Loss at epoch 1201 = 0.5331487059593201, T = 1
Loss at epoch 1301 = 0.4210561215877533, T = 1
Loss at epoch 1401 = 0.5000357627868652, T = 1
Loss at epoch 1501 = 0.5219586491584778, T = 1
Loss at epoch 1601 = 0.3786088824272156, T = 1
Loss at epoch 1701 = 0.31161728501319885, T = 1
Loss at epoch 1801 = 0.3441540002822876, T = 1
Loss at epoch 1901 = 0.32881486415863037, T = 1
Loss at epoch 2001 = 0.5982361435890198, T = 1
Loss at epoch 2101 = 0.5897568464279175, T = 1
Loss at epoch 2201 = 0.18549728393554688, T = 1
Loss at epoch 2301 = 0.5246652364730835, T = 1
Loss at epoch 2401 = 0.450039267539978, T = 1
Loss at epoch 2501 = 0.3653653860092163, T = 1
Loss at epoch 2601 = 0.42844629287719727, T = 1
Loss at epoch 2701 = 0.3780307471752167, T = 1
Loss at epoch 2801 = 0.268194317817688, T = 1
Loss at epoch 2901 = 0.5478184223175049, T = 1
Loss at epoch 3001 = 0.39913201332092285, T = 1
Loss at epoch 3101 = 0.2851339280605316, T = 1
Loss at epoch 3201 = 0.305583119392395, T = 1
Loss at epoch 3301 = 0.3236334025859833, T = 1
Loss at epoch 3401 = 0.3683515191078186, T = 1
Loss at epoch 3501 = 0.4532017409801483, T = 1
Loss at epoch 3601 = 0.3914281725883484, T = 1
Loss at epoch 3701 = 0.4926922023296356, T = 1
Loss at epoch 3801 = 0.4701481759548187, T = 1
Loss at epoch 3901 = 0.32661160826683044, T = 1
Loss at epoch 4001 = 0.2142833173274994, T = 1
Loss at epoch 4101 = 0.2528509497642517, T = 1
Loss at epoch 4201 = 0.21384921669960022, T = 1
Loss at epoch 4301 = 0.3702055811882019, T = 1
Loss at epoch 4401 = 0.2660810351371765, T = 1
Loss at epoch 4501 = 0.3143295645713806, T = 1
Loss at epoch 4601 = 0.33631274104118347, T = 1
Loss at epoch 4701 = 0.2573748230934143, T = 1
Loss at epoch 4801 = 0.2998232841491699, T = 1
Loss at epoch 4901 = 0.3336409330368042, T = 1
Loss at epoch 5001 = 0.2510078549385071, T = 1
Loss at epoch 5101 = 0.4775048494338989, T = 1
Loss at epoch 5201 = 0.2863966226577759, T = 1
Loss at epoch 5301 = 0.3754923939704895, T = 1
Loss at epoch 5401 = 0.3627040982246399, T = 1
Loss at epoch 5501 = 0.28105783462524414, T = 1
Loss at epoch 5601 = 0.38861319422721863, T = 1
Loss at epoch 5701 = 0.33437347412109375, T = 1
Loss at epoch 5801 = 0.25091078877449036, T = 1
Loss at epoch 5901 = 0.4419523775577545, T = 1
Loss at epoch 6001 = 0.35783010721206665, T = 1
Loss at epoch 6101 = 0.29401612281799316, T = 1
Loss at epoch 6201 = 0.4104441702365875, T = 1
Loss at epoch 6301 = 0.3184068202972412, T = 1
Loss at epoch 6401 = 0.16921891272068024, T = 1
Loss at epoch 6501 = 0.36418402194976807, T = 1
Loss at epoch 6601 = 0.41560330986976624, T = 1
Loss at epoch 6701 = 0.33953940868377686, T = 1
Loss at epoch 6801 = 0.32678139209747314, T = 1
Loss at epoch 6901 = 0.4336843490600586, T = 1
Loss at epoch 7001 = 0.24392922222614288, T = 1
Loss at epoch 7101 = 0.5048297643661499, T = 1
Loss at epoch 7201 = 0.28488215804100037, T = 1
Loss at epoch 7301 = 0.3287518620491028, T = 1
Loss at epoch 7401 = 0.15727287530899048, T = 1
Loss at epoch 7501 = 0.18408456444740295, T = 1
Loss at epoch 7601 = 0.3720523715019226, T = 1
Loss at epoch 7701 = 0.2922121286392212, T = 1
Loss at epoch 7801 = 0.4788738191127777, T = 1
Loss at epoch 7901 = 0.45651453733444214, T = 1
Loss at epoch 8001 = 0.16667982935905457, T = 1
Loss at epoch 8101 = 0.5845885872840881, T = 1
Loss at epoch 8201 = 0.16496634483337402, T = 1
Loss at epoch 8301 = 0.22128383815288544, T = 1
Loss at epoch 8401 = 0.1559162139892578, T = 1
Loss at epoch 8501 = 0.1723799705505371, T = 1
Loss at epoch 8601 = 0.2120821624994278, T = 1
Loss at epoch 8701 = 0.28859251737594604, T = 1
Loss at epoch 8801 = 0.3608155846595764, T = 1
Loss at epoch 8901 = 0.2037138044834137, T = 1
Loss at epoch 9001 = 0.2332122027873993, T = 1
Loss at epoch 9101 = 0.3170087933540344, T = 1
Loss at epoch 9201 = 0.21956267952919006, T = 1
Loss at epoch 9301 = 0.4958832263946533, T = 1
Loss at epoch 9401 = 0.28910747170448303, T = 1
Loss at epoch 9501 = 0.4138760566711426, T = 1
Loss at epoch 9601 = 0.32732170820236206, T = 1
Loss at epoch 9701 = 0.3813025653362274, T = 1
Loss at epoch 9801 = 0.35019972920417786, T = 1
Loss at epoch 9901 = 0.12938079237937927, T = 1
Train data : 
Val data : 
